Date,Product_ID,Product_Name,Quantity sold,GDP,Inflation,Campaign_Active,Promotion_Active,Holiday,Special_Event,Temperature,Precipitation
01-01-2023,1,Floral Sundress,67,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
01-01-2023,2,Evening Gown,92,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
01-01-2023,3,Business Casual Dress,94,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
01-01-2023,4,Sequin Party Dress,97,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
01-01-2023,5,Summer Maxi Dress,63,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
01-01-2023,6,Bridal Gown,55,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
01-01-2023,7,Traditional Ethnic Dress,13,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
01-01-2023,8,Maternity Nursing Dress,34,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
01-01-2023,9,Sporty Athleisure Dress,97,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
01-01-2023,10,Customizable Dress,34,1790.326723,1.82414293,0,1,1,0,63.08900487,0.643662945
02-01-2023,1,Floral Sundress,36,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
02-01-2023,2,Evening Gown,75,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
02-01-2023,3,Business Casual Dress,32,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
02-01-2023,4,Sequin Party Dress,79,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
02-01-2023,5,Summer Maxi Dress,69,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
02-01-2023,6,Bridal Gown,83,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
02-01-2023,7,Traditional Ethnic Dress,23,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
02-01-2023,8,Maternity Nursing Dress,67,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
02-01-2023,9,Sporty Athleisure Dress,24,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
02-01-2023,10,Customizable Dress,77,1661.466657,1.313032004,0,0,0,0,89.01370412,0.464105407
03-01-2023,1,Floral Sundress,34,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
03-01-2023,2,Evening Gown,19,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
03-01-2023,3,Business Casual Dress,10,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
03-01-2023,4,Sequin Party Dress,36,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
03-01-2023,5,Summer Maxi Dress,70,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
03-01-2023,6,Bridal Gown,96,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
03-01-2023,7,Traditional Ethnic Dress,33,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
03-01-2023,8,Maternity Nursing Dress,72,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
03-01-2023,9,Sporty Athleisure Dress,99,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
03-01-2023,10,Customizable Dress,77,1523.131676,3.167139177,0,1,0,0,72.23948468,0.459596232
04-01-2023,1,Floral Sundress,68,1514.064058,3.609067945,0,0,0,0,72.37306117,0.920792757
04-01-2023,2,Evening Gown,17,1514.064058,3.609067945,0,0,0,0,72.37306117,0.920792757
04-01-2023,3,Business Casual Dress,96,1514.064058,3.609067945,0,0,0,0,72.37306117,0.920792757
04-01-2023,4,Sequin Party Dress,89,1514.064058,3.609067945,0,0,0,0,72.37306117,0.920792757
04-01-2023,5,Summer Maxi Dress,72,1514.064058,3.609067945,0,0,0,0,72.37306117,0.920792757
04-01-2023,6,Bridal Gown,58,1514.064058,3.609067945,0,0,0,0,72.37306117,0.920792757
