Date,Product_ID,Product_Name,Quantity_Sold,GDP,Inflation,Campaign_Active,Promotion_Active,Holiday,Special_Event,Temperature,Precipitation
01-01-2023,1,Floral Sundress,16,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
01-01-2023,2,Evening Gown,29,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
01-01-2023,3,Business Casual Dress,24,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
01-01-2023,4,Sequin Party Dress,20,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
01-01-2023,5,Summer Maxi Dress,17,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
01-01-2023,6,Bridal Gown,16,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
01-01-2023,7,Traditional Ethnic Dress,28,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
01-01-2023,8,Maternity Nursing Dress,20,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
01-01-2023,9,Sporty Athleisure Dress,20,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
01-01-2023,10,Customizable Dress,13,1640.39557,1.049958193,1,0,1,0,53.63526897,0.725537604
02-01-2023,1,Floral Sundress,17,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
02-01-2023,2,Evening Gown,12,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
02-01-2023,3,Business Casual Dress,11,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
02-01-2023,4,Sequin Party Dress,21,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
02-01-2023,5,Summer Maxi Dress,15,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
02-01-2023,6,Bridal Gown,11,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
02-01-2023,7,Traditional Ethnic Dress,10,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
02-01-2023,8,Maternity Nursing Dress,21,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
02-01-2023,9,Sporty Athleisure Dress,21,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
02-01-2023,10,Customizable Dress,26,1037.679417,2.878253222,1,0,,,58.63831608,0.369058614
03-01-2023,1,Floral Sundress,19,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
03-01-2023,2,Evening Gown,25,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
03-01-2023,3,Business Casual Dress,24,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
03-01-2023,4,Sequin Party Dress,24,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
03-01-2023,5,Summer Maxi Dress,28,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
03-01-2023,6,Bridal Gown,21,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
03-01-2023,7,Traditional Ethnic Dress,29,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
03-01-2023,8,Maternity Nursing Dress,12,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
03-01-2023,9,Sporty Athleisure Dress,14,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
03-01-2023,10,Customizable Dress,28,1294.859301,2.003366032,0,0,,,80.70804153,0.974427595
04-01-2023,1,Floral Sundress,16,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
04-01-2023,2,Evening Gown,18,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
04-01-2023,3,Business Casual Dress,16,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
04-01-2023,4,Sequin Party Dress,27,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
04-01-2023,5,Summer Maxi Dress,13,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
04-01-2023,6,Bridal Gown,23,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
04-01-2023,7,Traditional Ethnic Dress,27,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
04-01-2023,8,Maternity Nursing Dress,18,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
04-01-2023,9,Sporty Athleisure Dress,11,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
04-01-2023,10,Customizable Dress,29,1917.017038,4.473645871,0,0,,,70.5798662,0.442937707
05-01-2023,1,Floral Sundress,24,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
05-01-2023,2,Evening Gown,16,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
05-01-2023,3,Business Casual Dress,21,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
05-01-2023,4,Sequin Party Dress,17,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
05-01-2023,5,Summer Maxi Dress,24,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
05-01-2023,6,Bridal Gown,12,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
05-01-2023,7,Traditional Ethnic Dress,23,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
05-01-2023,8,Maternity Nursing Dress,26,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
05-01-2023,9,Sporty Athleisure Dress,13,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
05-01-2023,10,Customizable Dress,27,1017.49768,1.533169633,1,0,,,67.41113465,0.499488609
06-01-2023,1,Floral Sundress,17,1249.68079,4.264644639,0,1,,,76.84121401,0.500181215
06-01-2023,2,Evening Gown,13,1249.68079,4.264644639,0,1,,,76.84121401,0.500181215
06-01-2023,3,Business Casual Dress,11,1249.68079,4.264644639,0,1,,,76.84121401,0.500181215
06-01-2023,4,Sequin Party Dress,15,1249.68079,4.264644639,0,1,,,76.84121401,0.500181215
06-01-2023,5,Summer Maxi Dress,19,1249.68079,4.264644639,0,1,,,76.84121401,0.500181215
06-01-2023,6,Bridal Gown,13,1249.68079,4.264644639,0,1,,,76.84121401,0.500181215
